geoname_id,country,region
145531,AO,18
145724,AO,17
146961,AJ,66
147271,AJ,49
147429,AJ,35
174710,AM,10
174828,AM,10
174875,AM,08
174884,AM,10
174979,AM,02
174982,AM,00
175007,AM,08
203312,CG,00
203717,CG,09
203718,CG,02
205379,CG,05
207570,CG,05
209228,CG,04
209788,CG,02
210939,CG,03
211647,CG,04
212360,CG,05
212902,CG,10
215771,CG,09
216281,CG,11
216449,CG,04
217695,CG,09
217831,CG,12
218679,CG,02
219057,CG,11
220448,CG,09
235826,CT,05
236844,CT,08
236863,CT,14
236901,CT,03
236950,CT,05
238566,CT,11
239880,CT,00
239899,CT,03
240210,CT,14
240498,CT,08
240592,CT,01
240604,CT,11
240999,CT,02
244128,CD,03
244878,CD,02
245338,CD,13
245785,CD,12
290087,BA,16
290091,BA,16
290104,BA,06
290118,BA,00
290120,BA,16
290121,BA,16
290127,BA,00
290160,BA,15
290163,BA,00
290187,BA,00
290201,BA,00
290203,BA,00
290204,BA,16
290221,BA,00
290226,BA,00
290247,BA,00
290260,BA,00
290269,BA,00
290275,BA,00
290286,BA,00
290287,BA,00
290291,BA,00
290294,BA,16
290296,BA,00
290299,BA,00
290306,BA,00
290312,BA,00
290323,BA,00
290332,BA,15
290336,BA,00
290340,BA,16
290351,BA,00
290352,BA,00
290359,BA,00
290363,BA,15
290368,BA,00
290385,BA,00
363243,AL,51
373303,SS,
385038,BA,00
422232,BY,17
423328,BY,10
423549,BY,02
423794,BY,23
425336,BY,02
425374,BY,02
425378,BY,02
425551,BY,22
426272,BY,13
426700,BY,21
427701,BY,11
428219,BY,14
428515,BY,09
430021,BY,12
430569,BY,19
430952,BY,15
431748,BY,18
432456,BY,16
433561,BY,00
433635,BY,20
584596,AJ,70
584923,AJ,54
585170,AJ,48
585220,AJ,44
585223,AJ,41
585915,AJ,01
586523,AJ,20
587084,AJ,09
587116,AJ,00
587361,AJ,06
616051,AM,11
616052,AM,11
616062,AM,03
616160,AM,05
616250,AM,04
616291,AM,05
616341,AM,05
616362,AM,05
616429,AM,05
616435,AM,02
616530,AM,06
616599,AM,04
616627,AM,09
616629,AM,05
616631,AM,03
616635,AM,07
616752,AM,09
616802,AM,09
616953,AM,01
617026,AM,05
618800,BO,04
618806,BO,02
618885,BO,04
618932,BO,03
619598,BO,02
620127,BO,07
620181,BO,04
620214,BO,02
620391,BO,03
620445,BO,04
621048,BO,03
621074,BO,02
621277,BO,01
621353,BO,00
621713,BO,03
621741,BO,04
621754,BO,03
622034,BO,06
622113,BO,03
622428,BO,04
622739,BO,02
622794,BO,02
622801,BO,07
623098,BO,04
623317,BO,07
623327,BO,03
623549,BO,01
624034,BO,06
624079,BO,07
624700,BO,04
624784,BO,07
624785,BO,03
625130,BO,07
625144,BO,05
625145,BO,03
625324,BO,02
625625,BO,04
625665,BO,06
625671,BO,04
625721,BO,04
626081,BO,03
626246,BO,06
627145,BO,01
627904,BO,03
627905,BO,06
627907,BO,02
628228,BO,06
628615,BO,07
628634,BO,04
628708,BO,06
628771,BO,07
629395,BO,06
629634,BO,01
630162,BO,07
630206,BO,01
630336,BO,00
630376,BO,04
630425,BO,07
630429,BO,01
630468,BO,06
630536,BO,04
725213,BU,61
725221,BU,61
725230,BU,64
725257,BU,58
725271,BU,57
725283,BU,58
725284,BU,51
725435,BU,52
725578,BU,65
725611,BU,46
725712,BU,64
725732,BU,58
725754,BU,40
725816,BU,39
725825,BU,58
725841,BU,42
725905,BU,63
725935,BU,53
725988,BU,48
725993,BU,62
726000,BU,39
726050,BU,61
726087,BU,51
726141,BU,55
726144,BU,57
726167,BU,41
726174,BU,60
726274,BU,51
726284,BU,51
726287,BU,41
726307,BU,49
726320,BU,46
726368,BU,50
726381,BU,51
726384,BU,43
726418,BU,40
726419,BU,40
726464,BU,46
726474,BU,40
726524,BU,58
726534,BU,62
726546,BU,43
726591,BU,61
726612,BU,48
726622,BU,51
726643,BU,62
726657,BU,51
726693,BU,38
726708,BU,51
726723,BU,48
726748,BU,65
726819,BU,59
726848,BU,59
726872,BU,45
726890,BU,51
726963,BU,39
726975,BU,46
726999,BU,39
727011,BU,42
727025,BU,54
727030,BU,57
727067,BU,53
727069,BU,58
727079,BU,56
727087,BU,50
727113,BU,55
727157,BU,65
727162,BU,39
727217,BU,43
727221,BU,55
727233,BU,54
727329,BU,40
727337,BU,41
727354,BU,48
727371,BU,48
727393,BU,64
727447,BU,38
727460,BU,45
727462,BU,58
727479,BU,51
727523,BU,53
727524,BU,53
727552,BU,57
727608,BU,51
727610,BU,40
727628,BU,45
727632,BU,38
727656,BU,45
727657,BU,62
727689,BU,38
727696,BU,52
727730,BU,58
727759,BU,39
727791,BU,51
727801,BU,48
727822,BU,64
727832,BU,49
727838,BU,59
727884,BU,62
727886,BU,51
727896,BU,62
727921,BU,61
727951,BU,62
727964,BU,39
727969,BU,49
727987,BU,54
728011,BU,58
728075,BU,60
728108,BU,39
728124,BU,62
728193,BU,51
728203,BU,50
728241,BU,62
728251,BU,58
728288,BU,38
728317,BU,48
728330,BU,49
728378,BU,48
728385,BU,62
